date,dayOfWeek,home,away,venue
2026-09-22,火,アルバルク東京,琉球ゴールデンキングス,TOYOTA ARENA TOKYO
2026-09-23,水,アルバルク東京,琉球ゴールデンキングス,TOYOTA ARENA TOKYO
2026-10-03,土,滋賀レイクス,琉球ゴールデンキングス,滋賀ダイハツアリーナ
2026-10-04,日,滋賀レイクス,琉球ゴールデンキングス,滋賀ダイハツアリーナ
2026-10-08,木,琉球ゴールデンキングス,群馬クレインサンダーズ,沖縄サントリーアリーナ
2026-10-10,土,琉球ゴールデンキングス,島根スサノオマジック,沖縄サントリーアリーナ
2026-10-16,金,横浜ビー・コルセアーズ,琉球ゴールデンキングス,横浜BUNTAI
2026-10-19,月,琉球ゴールデンキングス,滋賀レイクス,沖縄サントリーアリーナ
2026-10-21,水,琉球ゴールデンキングス,アルティーリ千葉,沖縄サントリーアリーナ
2026-10-23,金,琉球ゴールデンキングス,群馬クレインサンダーズ,沖縄サントリーアリーナ
2026-10-26,月,長崎ヴェルカ,琉球ゴールデンキングス,ハピネスアリーナ
2026-10-31,土,琉球ゴールデンキングス,三遠ネオフェニックス,沖縄サントリーアリーナ
2026-11-01,日,琉球ゴールデンキングス,三遠ネオフェニックス,沖縄サントリーアリーナ
2026-11-07,土,宇都宮ブレックス,琉球ゴールデンキングス,ブレックスアリーナ宇都宮
2026-11-09,月,茨城ロボッツ,琉球ゴールデンキングス,アダストリアみとアリーナ
2026-11-12,木,琉球ゴールデンキングス,サンロッカーズ渋谷,沖縄サントリーアリーナ
2026-11-16,月,琉球ゴールデンキングス,富山グラウジーズ,沖縄サントリーアリーナ
2026-11-18,水,名古屋ダイヤモンドドルフィンズ,琉球ゴールデンキングス,IGアリーナ
2026-12-11,金,島根スサノオマジック,琉球ゴールデンキングス,松江市総合体育館
2026-12-13,日,島根スサノオマジック,琉球ゴールデンキングス,松江市総合体育館
2026-12-16,水,琉球ゴールデンキングス,宇都宮ブレックス,沖縄サントリーアリーナ
2026-12-19,土,琉球ゴールデンキングス,神戸ストークス,沖縄サントリーアリーナ
2026-12-20,日,琉球ゴールデンキングス,神戸ストークス,沖縄サントリーアリーナ
2026-12-26,土,京都ハンナリーズ,琉球ゴールデンキングス,島津アリーナ京都
2026-12-27,日,京都ハンナリーズ,琉球ゴールデンキングス,島津アリーナ京都
2026-12-30,水,琉球ゴールデンキングス,シーホース三河,沖縄サントリーアリーナ
2027-01-02,土,琉球ゴールデンキングス,千葉ジェッツ,沖縄サントリーアリーナ
2027-01-03,日,琉球ゴールデンキングス,千葉ジェッツ,沖縄サントリーアリーナ
2027-01-22,金,茨城ロボッツ,琉球ゴールデンキングス,アダストリアみとアリーナ
2027-01-25,月,レバンガ北海道,琉球ゴールデンキングス,北海きたえーる
2027-01-27,水,三遠ネオフェニックス,琉球ゴールデンキングス,豊橋市総合体育館
2027-01-30,土,琉球ゴールデンキングス,名古屋ダイヤモンドドルフィンズ,沖縄サントリーアリーナ
2027-01-31,日,琉球ゴールデンキングス,名古屋ダイヤモンドドルフィンズ,沖縄サントリーアリーナ
2027-02-03,水,川崎ブレイブサンダース,琉球ゴールデンキングス,東急ドレッセとどろきアリーナ
2027-02-05,金,広島ドラゴンフライズ,琉球ゴールデンキングス,広島グリーンアリーナ
2027-02-07,日,広島ドラゴンフライズ,琉球ゴールデンキングス,広島グリーンアリーナ
2027-02-11,木,琉球ゴールデンキングス,レバンガ北海道,沖縄サントリーアリーナ
2027-02-13,土,琉球ゴールデンキングス,大阪エヴェッサ,沖縄サントリーアリーナ
2027-02-15,月,佐賀バルーナーズ,琉球ゴールデンキングス,SAGAアリーナ
2027-02-17,水,アルティーリ千葉,琉球ゴールデンキングス,千葉ポートアリーナ
2027-03-06,土,シーホース三河,琉球ゴールデンキングス,IGアリーナ
2027-03-07,日,シーホース三河,琉球ゴールデンキングス,IGアリーナ
2027-03-10,水,神戸ストークス,琉球ゴールデンキングス,GLION ARENA KOBE
2027-03-13,土,琉球ゴールデンキングス,長崎ヴェルカ,沖縄サントリーアリーナ
2027-03-14,日,琉球ゴールデンキングス,長崎ヴェルカ,沖縄サントリーアリーナ
2027-03-17,水,琉球ゴールデンキングス,広島ドラゴンフライズ,沖縄サントリーアリーナ
2027-03-19,金,琉球ゴールデンキングス,信州ブレイブウォリアーズ,沖縄サントリーアリーナ
2027-03-21,日,琉球ゴールデンキングス,信州ブレイブウォリアーズ,沖縄サントリーアリーナ
2027-03-24,水,富山グラウジーズ,琉球ゴールデンキングス,YKK APアリーナ
2027-03-31,水,横浜ビー・コルセアーズ,琉球ゴールデンキングス,横浜BUNTAI
2027-04-03,土,琉球ゴールデンキングス,京都ハンナリーズ,沖縄サントリーアリーナ
2027-04-06,火,琉球ゴールデンキングス,秋田ノーザンハピネッツ,沖縄サントリーアリーナ
2027-04-09,金,大阪エヴェッサ,琉球ゴールデンキングス,おおきにアリーナ舞洲
2027-04-11,日,大阪エヴェッサ,琉球ゴールデンキングス,おおきにアリーナ舞洲
2027-04-14,水,信州ブレイブウォリアーズ,琉球ゴールデンキングス,エア・ウォーターアリーナ松本
2027-04-20,火,琉球ゴールデンキングス,川崎ブレイブサンダース,沖縄サントリーアリーナ
2027-04-23,金,琉球ゴールデンキングス,佐賀バルーナーズ,沖縄サントリーアリーナ
2027-04-25,日,琉球ゴールデンキングス,佐賀バルーナーズ,沖縄サントリーアリーナ
2027-04-28,水,秋田ノーザンハピネッツ,琉球ゴールデンキングス,CNAアリーナ☆あきた(予定)
2027-05-02,日,琉球ゴールデンキングス,仙台89ERS,沖縄サントリーアリーナ
